datetime,open,high,low,close,volume
2026-02-09 20:54:08,1.3696,1.36976,1.36948,1.3695,0
2026-02-09 21:00:00,1.3695,1.36967,1.36913,1.36929,0
2026-02-09 21:15:00,1.36929,1.36942,1.3691,1.36918,0
2026-02-09 21:30:00,1.3692,1.36992,1.36918,1.3699,0
2026-02-09 21:45:00,1.36989,1.37001,1.36939,1.36939,0
2026-02-09 22:00:00,1.36931,1.36944,1.36895,1.36914,0
2026-02-09 22:15:00,1.36915,1.36961,1.36906,1.36911,0
2026-02-09 22:30:00,1.36911,1.36945,1.36908,1.36926,0
2026-02-09 22:45:00,1.36925,1.36962,1.36911,1.36953,0
2026-02-09 23:00:00,1.36957,1.36972,1.36921,1.36921,0
2026-02-09 23:15:00,1.36921,1.36922,1.36863,1.3687,0
2026-02-09 23:30:00,1.3687,1.36872,1.36838,1.3686,0
2026-02-09 23:45:00,1.3686,1.3686,1.36819,1.36825,0
2026-02-10 00:00:00,1.36825,1.36841,1.36779,1.36792,0
2026-02-10 00:15:00,1.36792,1.36813,1.3678,1.36791,0
2026-02-10 00:30:00,1.36792,1.36792,1.36728,1.36739,0
2026-02-10 00:45:00,1.36739,1.36808,1.36723,1.36808,0
2026-02-10 01:00:00,1.36807,1.36829,1.36785,1.36812,0
2026-02-10 01:15:00,1.36813,1.36838,1.36748,1.36761,0
2026-02-10 01:30:00,1.36761,1.3687,1.36745,1.36841,0
2026-02-10 01:45:00,1.36841,1.36897,1.36821,1.36845,0
2026-02-10 02:00:00,1.36845,1.36882,1.36844,1.36864,0
2026-02-10 02:15:00,1.36865,1.36877,1.36843,1.3687,0
2026-02-10 02:30:00,1.3687,1.36893,1.36844,1.36888,0
2026-02-10 02:45:00,1.36884,1.36932,1.36879,1.36931,0
2026-02-10 03:00:00,1.36933,1.36962,1.3692,1.36939,0
2026-02-10 03:15:00,1.3694,1.3694,1.36866,1.36869,0
2026-02-10 03:30:00,1.3687,1.36919,1.36869,1.36906,0
2026-02-10 03:45:00,1.36906,1.36918,1.36842,1.36853,0
2026-02-10 04:00:00,1.36853,1.36865,1.36825,1.36833,0
2026-02-10 04:15:00,1.36829,1.36839,1.36817,1.36819,0
2026-02-10 04:30:00,1.36818,1.36839,1.368,1.3683,0
2026-02-10 04:45:00,1.36831,1.36851,1.36811,1.36822,0
2026-02-10 05:00:00,1.36816,1.36831,1.36802,1.36827,0
2026-02-10 05:15:00,1.36827,1.36841,1.36798,1.36808,0
2026-02-10 05:30:00,1.36809,1.36823,1.36763,1.36769,0
