datetime,open,high,low,close,volume
2025-07-28 00:00:00,3333.73,3336.1,3327.76,3333.44,0
2025-07-28 01:00:00,3333.44,3338.82,3330.07,3332.07,0
2025-07-28 02:00:00,3332.08,3336.48,3330.69,3335.73,0
2025-07-28 03:00:00,3335.71,3343.36,3334.59,3343.36,0
2025-07-28 04:00:00,3343.32,3344.1,3339.53,3339.69,0
2025-07-28 05:00:00,3339.7,3344.25,3338.19,3343.42,0
2025-07-28 06:00:00,3343.42,3345.32,3335.88,3340.3,0
2025-07-28 07:00:00,3340.19,3342.01,3334.09,3335.09,0
2025-07-28 08:00:00,3335.11,3338.83,3332.47,3336.06,0
2025-07-28 09:00:00,3336.09,3340.79,3336.03,3337.98,0
2025-07-28 10:00:00,3337.91,3338.87,3334.32,3335.95,0
2025-07-28 11:00:00,3335.95,3338.39,3334.54,3336.58,0
2025-07-28 12:00:00,3336.62,3338.42,3325.63,3328.49,0
2025-07-28 13:00:00,3328.48,3330.62,3301.94,3302.27,0
2025-07-28 14:00:00,3302.28,3314.84,3301.88,3308.05,0
2025-07-28 15:00:00,3308.06,3317.28,3306.7,3314.97,0
2025-07-28 16:00:00,3314.86,3314.94,3311.55,3312.21,0
2025-07-28 17:00:00,3312.28,3313.22,3308.83,3310.87,0
2025-07-28 18:00:00,3310.86,3315.67,3310.31,3313.65,0
2025-07-28 19:00:00,3313.75,3318.88,3313.19,3317.23,0
2025-07-28 20:00:00,3317.19,3318.48,3314.37,3314.61,0
2025-07-28 22:00:00,3314.8,3315.6,3312.07,3314.63,0
2025-07-28 23:00:00,3314.63,3314.64,3310.59,3312.6,0
2025-07-29 00:00:00,3312.65,3315.89,3308.18,3311.67,0
2025-07-29 01:00:00,3311.68,3320.9,3308.71,3318.97,0
2025-07-29 02:00:00,3318.97,3320.32,3317.64,3319.02,0
2025-07-29 03:00:00,3319.0,3319.0,3311.31,3312.64,0
2025-07-29 04:00:00,3312.64,3317.48,3309.15,3316.57,0
2025-07-29 05:00:00,3316.57,3320.1,3314.37,3319.86,0
2025-07-29 06:00:00,3319.94,3322.42,3316.35,3316.92,0
2025-07-29 07:00:00,3317.03,3318.74,3311.33,3317.18,0
2025-07-29 08:00:00,3317.18,3329.9,3316.79,3326.46,0
2025-07-29 09:00:00,3326.47,3328.29,3321.0,3324.61,0
2025-07-29 10:00:00,3324.61,3326.43,3322.14,3322.22,0
2025-07-29 11:00:00,3322.21,3322.21,3315.03,3315.04,0
2025-07-29 12:00:00,3315.26,3324.46,3315.26,3323.62,0
2025-07-29 13:00:00,3323.41,3324.36,3312.95,3317.66,0
2025-07-29 14:00:00,3317.77,3329.53,3312.18,3329.01,0
2025-07-29 15:00:00,3328.98,3334.15,3319.71,3320.74,0
2025-07-29 16:00:00,3320.74,3324.78,3319.19,3323.22,0
2025-07-29 17:00:00,3323.24,3329.27,3323.08,3328.34,0
2025-07-29 18:00:00,3328.3,3330.84,3325.35,3325.88,0
2025-07-29 19:00:00,3325.9,3328.8,3322.68,3325.26,0
2025-07-29 20:00:00,3325.4,3326.72,3324.82,3326.63,0
2025-07-29 22:00:00,3327.05,3329.26,3326.1,3327.8,0
2025-07-29 23:00:00,3327.8,3328.35,3326.23,3327.66,0
2025-07-30 00:00:00,3327.65,3333.73,3327.37,3330.52,0
2025-07-30 01:00:00,3330.33,3333.32,3322.01,3323.42,0
2025-07-30 02:00:00,3323.44,3332.38,3323.44,3329.47,0
2025-07-30 03:00:00,3329.48,3329.92,3326.35,3328.48,0
2025-07-30 04:00:00,3328.48,3329.84,3325.91,3327.24,0
2025-07-30 05:00:00,3327.24,3330.7,3324.59,3325.11,0
2025-07-30 06:00:00,3325.02,3327.62,3323.35,3327.23,0
2025-07-30 07:00:00,3327.25,3332.23,3325.7,3327.75,0
2025-07-30 08:00:00,3327.76,3333.44,3327.65,3332.28,0
2025-07-30 09:00:00,3332.28,3334.06,3329.48,3331.35,0
2025-07-30 10:00:00,3331.35,3333.01,3326.91,3328.54,0
2025-07-30 11:00:00,3328.58,3331.69,3324.05,3330.91,0
2025-07-30 12:00:00,3330.9,3331.93,3310.93,3313.14,0
2025-07-30 13:00:00,3313.29,3316.08,3298.57,3302.94,0
2025-07-30 14:00:00,3303.21,3308.41,3301.42,3302.23,0
2025-07-30 15:00:00,3302.22,3303.4,3288.82,3290.36,0
2025-07-30 16:00:00,3290.42,3298.51,3290.01,3298.15,0
2025-07-30 17:00:00,3298.39,3302.04,3297.8,3302.04,0
2025-07-30 18:00:00,3302.01,3304.92,3279.85,3280.55,0
2025-07-30 19:00:00,3280.44,3282.67,3268.21,3268.87,0
2025-07-30 20:00:00,3269.5,3276.3,3269.09,3275.17,0
2025-07-30 22:00:00,3276.41,3280.11,3274.16,3278.99,0
2025-07-30 23:00:00,3278.99,3285.84,3277.92,3285.37,0
2025-07-31 00:00:00,3285.35,3288.49,3282.91,3286.29,0
2025-07-31 01:00:00,3286.44,3293.99,3285.23,3293.92,0
2025-07-31 02:00:00,3293.91,3297.46,3290.56,3297.31,0
2025-07-31 03:00:00,3297.31,3298.56,3293.55,3295.18,0
2025-07-31 04:00:00,3295.14,3298.47,3293.9,3298.24,0
2025-07-31 05:00:00,3298.23,3301.66,3294.77,3299.86,0
2025-07-31 06:00:00,3299.86,3304.78,3298.25,3299.16,0
2025-07-31 07:00:00,3299.19,3309.65,3298.18,3303.44,0
2025-07-31 08:00:00,3304.76,3314.81,3303.75,3310.06,0
2025-07-31 09:00:00,3309.98,3313.18,3305.0,3306.72,0
2025-07-31 10:00:00,3306.72,3308.03,3293.93,3296.32,0
2025-07-31 11:00:00,3296.34,3307.76,3295.37,3306.19,0
2025-07-31 12:00:00,3306.22,3311.12,3304.19,3307.7,0
2025-07-31 13:00:00,3307.69,3310.36,3300.71,3301.45,0
2025-07-31 14:00:00,3301.44,3303.08,3291.57,3296.41,0
2025-07-31 15:00:00,3296.31,3299.01,3291.47,3295.67,0
2025-07-31 16:00:00,3295.57,3297.37,3289.83,3295.1,0
2025-07-31 17:00:00,3295.12,3298.49,3294.14,3295.0,0
2025-07-31 18:00:00,3295.03,3297.07,3292.94,3295.84,0
2025-07-31 19:00:00,3295.82,3296.4,3290.63,3290.99,0
2025-07-31 20:00:00,3291.05,3293.81,3289.93,3289.93,0
2025-07-31 22:00:00,3290.4,3295.15,3289.53,3295.11,0
2025-07-31 23:00:00,3295.11,3295.2,3288.37,3288.64,0
2025-08-01 00:00:00,3288.66,3293.88,3286.62,3290.26,0
2025-08-01 01:00:00,3290.3,3293.56,3281.76,3283.96,0
2025-08-01 02:00:00,3283.81,3292.26,3283.6,3291.86,0
2025-08-01 03:00:00,3291.84,3297.15,3290.62,3291.57,0
2025-08-01 04:00:00,3291.49,3295.42,3290.2,3292.17,0
2025-08-01 05:00:00,3292.18,3300.5,3291.83,3296.75,0
2025-08-01 06:00:00,3296.75,3297.39,3290.69,3292.37,0
2025-08-01 07:00:00,3292.41,3293.46,3285.42,3286.95,0
2025-08-01 08:00:00,3286.92,3294.45,3285.5,3294.37,0
2025-08-01 09:00:00,3294.49,3296.42,3292.84,3294.5,0
2025-08-01 10:00:00,3294.52,3303.02,3293.57,3298.3,0
2025-08-01 11:00:00,3298.34,3301.43,3297.0,3300.39,0
2025-08-01 12:00:00,3300.41,3345.17,3297.51,3341.56,0
2025-08-01 13:00:00,3341.36,3354.68,3339.01,3342.19,0
2025-08-01 14:00:00,3342.19,3355.01,3341.47,3345.9,0
2025-08-01 15:00:00,3345.91,3351.24,3341.75,3348.68,0
2025-08-01 16:00:00,3348.67,3349.48,3340.77,3347.39,0
2025-08-01 17:00:00,3347.37,3349.42,3345.68,3348.1,0
2025-08-01 18:00:00,3348.26,3351.37,3345.99,3347.7,0
2025-08-01 19:00:00,3347.7,3361.29,3347.7,3357.72,0
2025-08-01 20:00:00,3357.75,3363.64,3357.52,3363.16,0
2025-08-04 00:00:00,3362.1,3362.41,3350.49,3352.27,0
2025-08-04 01:00:00,3352.28,3353.7,3345.15,3352.39,0
2025-08-04 02:00:00,3352.37,3355.27,3350.36,3354.43,0
2025-08-04 03:00:00,3354.42,3360.9,3354.42,3360.39,0
2025-08-04 04:00:00,3360.4,3362.17,3358.77,3359.01,0
2025-08-04 05:00:00,3359.01,3360.99,3355.62,3357.63,0
2025-08-04 06:00:00,3357.27,3362.63,3353.63,3362.47,0
2025-08-04 07:00:00,3362.62,3362.62,3351.85,3355.82,0
2025-08-04 08:00:00,3355.88,3359.84,3354.23,3358.51,0
2025-08-04 09:00:00,3358.53,3361.83,3357.01,3357.8,0
2025-08-04 10:00:00,3358.03,3358.92,3353.08,3357.88,0
2025-08-04 11:00:00,3357.91,3370.73,3357.83,3370.37,0
2025-08-04 12:00:00,3370.37,3371.53,3361.18,3367.88,0
2025-08-04 13:00:00,3367.87,3385.43,3367.27,3383.47,0
2025-08-04 14:00:00,3383.37,3384.63,3372.05,3374.03,0
2025-08-04 15:00:00,3374.05,3376.13,3370.76,3374.37,0
2025-08-04 16:00:00,3374.37,3378.19,3370.69,3371.04,0
2025-08-04 17:00:00,3371.04,3374.33,3370.8,3373.99,0
2025-08-04 18:00:00,3374.02,3376.85,3373.3,3375.81,0
2025-08-04 19:00:00,3375.83,3377.17,3374.59,3376.11,0
2025-08-04 20:00:00,3376.08,3376.95,3373.45,3373.6,0
2025-08-04 22:00:00,3374.62,3376.52,3373.74,3374.85,0
2025-08-04 23:00:00,3374.85,3379.72,3374.85,3377.49,0
2025-08-05 00:00:00,3377.49,3381.39,3375.99,3379.85,0
2025-08-05 01:00:00,3379.88,3382.35,3378.02,3379.13,0
2025-08-05 02:00:00,3379.13,3381.3,3373.84,3373.9,0
2025-08-05 03:00:00,3373.78,3375.45,3372.2,3372.24,0
2025-08-05 04:00:00,3372.21,3373.2,3371.17,3371.21,0
2025-08-05 05:00:00,3371.21,3374.11,3367.76,3374.11,0
2025-08-05 06:00:00,3374.08,3374.19,3365.86,3366.32,0
2025-08-05 07:00:00,3366.3,3375.52,3366.3,3373.7,0
2025-08-05 08:00:00,3373.71,3374.65,3366.13,3366.15,0
2025-08-05 09:00:00,3366.14,3366.32,3359.05,3360.0,0
2025-08-05 10:00:00,3359.72,3361.79,3353.05,3353.18,0
2025-08-05 11:00:00,3353.22,3354.36,3349.98,3351.48,0
2025-08-05 12:00:00,3351.48,3367.03,3350.0,3366.16,0
2025-08-05 13:00:00,3366.19,3379.75,3366.04,3373.95,0
2025-08-05 14:00:00,3373.87,3386.57,3370.79,3385.19,0
2025-08-05 15:00:00,3385.35,3390.17,3382.28,3389.6,0
2025-08-05 16:00:00,3389.6,3390.5,3377.08,3382.12,0
2025-08-05 17:00:00,3382.12,3382.82,3379.14,3380.16,0
2025-08-05 18:00:00,3380.16,3381.2,3378.52,3380.05,0
